PID,SyscallID,Syscall,RDI,RSI,RDX,R10,R8,R9
1692,9,mmap,2892341248,61648,3,50,4294967295,0
1692,3,close,3,0,0,1402760548,3221225474,32
1692,257,openat,4294967196,2892458512,524288,0,524288,2892458512
1692,0,read,3,511738872,832,0,524288,2892458512
1692,262,newfstatat,3,2892687853,511738528,4096,2892458512,2892735008
1692,9,mmap,0,70160,1,2050,3,0
1692,10,mprotect,2892144640,53248,0,1,3,0
1692,9,mmap,2892144640,36864,5,2066,3,12288
1692,9,mmap,2892181504,12288,1,2066,3,49152
1692,9,mmap,2892197888,8192,3,2066,3,61440
1692,3,close,3,0,0,1402834276,3221225474,32
1692,257,openat,4294967196,2892459824,524288,0,524288,2892459824
1692,0,read,3,511738840,832,0,524288,2892459824
1692,262,newfstatat,3,2892687853,511738496,4096,2892459824,2892735008
1692,9,mmap,0,742672,1,2050,3,0
1692,10,mprotect,2891456512,655360,0,1,3,0
1692,9,mmap,2891456512,499712,5,2066,3,69632
1692,9,mmap,2891956224,151552,1,2066,3,569344
1692,9,mmap,2892111872,16384,3,2066,3,720896
1692,9,mmap,2892128256,1296,3,50,4294967295,0
1692,3,close,3,0,0,1403579692,3221225474,32
1692,257,openat,4294967196,2892461136,524288,0,524288,2892461136
1692,0,read,3,511738808,832,0,524288,2892461136
1692,262,newfstatat,3,2892687853,511738464,4096,2892461136,2892735008
1692,9,mmap,0,2985736,1,2050,3,0
1692,9,mmap,2888892416,1712128,5,2066,3,491520
1692,9,mmap,2890604544,577536,1,2066,3,2203648
1692,9,mmap,2891182080,188416,3,2066,3,2777088
1692,9,mmap,2891370496,16136,3,50,4294967295,0
1692,3,close,3,0,0,1406565732,3221225474,32
1692,257,openat,4294967196,2892462448,524288,0,524288,2892462448
1692,0,read,3,511738776,832,0,524288,2892462448
1692,262,newfstatat,3,2892687853,511738432,4096,2892462448,2892735008
1692,9,mmap,0,16656,1,2050,3,0
1692,9,mmap,2888384512,4096,5,2066,3,4096
1692,9,mmap,2888388608,4096,1,2066,3,8192
1692,9,mmap,2888392704,8192,3,2066,3,8192
1692,3,close,3,4,1,1406586212,3221258242,48
1692,257,openat,4294967196,2892463760,524288,0,524288,2892463760
1692,0,read,3,511738744,832,0,524288,2892463760
1692,262,newfstatat,3,2892687853,511738400,4096,2892463760,2892735008
1692,9,mmap,0,8192,3,34,4294967295,0
1692,9,mmap,0,110776,1,2050,3,0
1692,10,mprotect,2888265728,98304,0,1,3,0
1692,9,mmap,2888265728,69632,5,2066,3,8192
1692,9,mmap,2888335360,24576,1,2066,3,77824
1692,9,mmap,2888364032,8192,3,2066,3,102400
1692,3,close,3,0,0,1406709092,3221225474,32
1692,257,openat,4294967196,2888373472,524288,0,524288,2888373472
1692,0,read,3,511738712,832,0,524288,2888373472
1692,262,newfstatat,3,2892687853,511738368,4096,2888373472,2892735008
1692,9,mmap,0,233888,1,2050,3,0
1692,10,mprotect,2888028160,188416,0,1,3,0
1692,9,mmap,2888028160,81920,5,2066,3,8192
1692,9,mmap,2888110080,102400,1,2066,3,90112
1692,9,mmap,2888216576,8192,3,2066,3,192512
1692,9,mmap,2888224768,29088,3,50,4294967295,0
1692,3,close,3,0,0,1406946660,3221225474,32
1692,257,openat,4294967196,2888374784,524288,0,524288,2888374784
1692,0,read,3,511738680,832,0,524288,2888374784
1692,262,newfstatat,3,2892687853,511738336,4096,2888374784,2892735008
1692,9,mmap,0,177672,1,2050,3,0
1692,9,mmap,2887864320,106496,5,2066,3,24576
1692,9,mmap,2887970816,32768,1,2066,3,131072
1692,9,mmap,2888003584,8192,3,2066,3,159744
1692,9,mmap,2888011776,5640,3,50,4294967295,0
1692,3,close,3,0,0,1407126828,3221225474,32
1692,257,openat,4294967196,2888376096,524288,0,524288,2888376096
1692,0,read,3,511738648,832,0,524288,2888376096
1692,262,newfstatat,3,2892687853,511738304,4096,2888376096,2892735008
1692,9,mmap,0,341088,1,2050,3,0
1692,10,mprotect,2887544832,278528,0,1,3,0
1692,9,mmap,2887544832,221184,5,2066,3,49152
1692,9,mmap,2887766016,53248,1,2066,3,270336
1692,9,mmap,2887823360,16384,3,2066,3,323584
1692,3,close,3,0,0,1407470948,3221225474,32
1692,257,openat,4294967196,2888377408,524288,0,524288,2888377408
1692,0,read,3,511738616,832,0,524288,2888377408
1692,262,newfstatat,3,2892687853,511738272,4096,2888377408,2892735008
1692,9,mmap,0,883968,1,2050,3,0
1692,9,mmap,2886746112,389120,5,2066,3,135168
1692,9,mmap,2887135232,294912,1,2066,3,524288
1692,9,mmap,2887430144,65536,3,2066,3,815104
1692,3,close,3,0,0,1408355684,3221225474,32
1692,257,openat,4294967196,2888378720,524288,0,524288,2888378720
1692,0,read,3,511738584,832,0,524288,2888378720
1692,262,newfstatat,3,2892687853,511738240,4096,2888378720,2892735008
